time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
4.1094	933828.524	5174.560547	2.664375177	-0.293188874	21.31634569	4.098725012	-2.746582031	-0.026651099	-0.049374235	933824.4252	5177.307129	2.691026275	-0.243814639
4.164	933528.7315	5174.560547	2.671447604	-0.268461913	16.12359948	-14.83348099	1.373291016	0.042862702	0.034854289	933543.565	5173.187256	2.628584902	-0.303316201
4.2186	933253.9218	5174.560547	2.673215717	-0.254332243	12.79697104	-5.464966682	-2.403259277	0.18479047	0.010343853	933259.3867	5176.963806	2.488425247	-0.264676096
4.2732	932979.112	5174.560547	2.669679493	-0.236670177	15.56302501	11.32028813	0.686645508	0.079318111	-0.068134525	932967.7917	5173.873901	2.590361383	-0.168535653
4.3278	932679.3195	5174.560547	2.66614328	-0.213709526	18.97694955	-2.146951197	3.776550293	-0.015686864	0.002280787	932681.4665	5170.783997	2.681830144	-0.215990313
4.3824	932404.5098	5174.560547	2.671447604	-0.196047509	20.56057447	4.098725012	4.806518555	-0.040929461	-0.005782278	932400.4111	5169.754028	2.712377065	-0.190265231
4.437	932104.7173	5174.560547	2.680288195	-0.178385512	22.33939614	-12.6865298	6.523132324	0.029026223	-0.033055358	932117.4039	5168.037415	2.651261973	-0.145330154
4.4916	931829.9076	5163.574219	2.678520072	-0.15542494	23.16724984	-1.171064289	-3.776550293	0.046204447	-0.010022615	931831.0786	5167.350769	2.632315625	-0.145402325
4.5462	931555.0978	5163.574219	2.674983833	-0.135996783	24.08239965	10.5395786	-2.059936523	0.044851178	-0.017635948	931544.5582	5165.634155	2.630132655	-0.118360835
4.6008	931255.3054	5163.574219	2.671447604	-0.114802448	19.64542466	-5.855321445	-1.373291016	-0.003673156	0.003597862	931261.1607	5164.94751	2.67512076	-0.11840031
4.6554	930980.4956	5163.574219	2.674983833	-0.097140515	12.79697104	-8.782982168	2.403259277	0.101301842	-0.02907201	930989.2786	5161.170959	2.573681991	-0.068068505
4.71	930680.7032	5163.574219	2.673215717	-0.077712398	9.275145863	-6.636030971	3.776550293	0.135023147	0.186189678	930687.3392	5159.797668	2.53819257	-0.263902076
4.7646	930405.8934	5163.574219	2.673215717	-0.063582865	20.56057447	-5.464966682	2.746582031	-0.003120802	-0.049277864	930411.3584	5160.827637	2.676336519	-0.014305001
4.8192	930131.0836	5163.574219	2.676751951	-0.03709	21.89951026	9.368514313	4.806518555	-0.009224318	-0.02071983	930121.7151	5158.7677	2.685976269	-0.01637017
4.8738	929831.2912	5152.587891	2.680288195	-0.014129523	23.25454595	-8.587804786	-3.776550293	-0.068906222	-0.057951285	929839.879	5156.364441	2.749194418	0.043821762
4.926	929556.4814	5152.587891	2.69266513	0.010597142	24.08239965	-8.197450023	-2.746582031	0.008064374	0.041182672	929564.6789	5155.334473	2.684600757	-0.03058553
